"DATA_YEAR","VICTIM_ID","INJURY_ID"
2020,145662297,5
2020,145662532,4
2020,145662639,4
2020,145662641,5
2020,145662707,5
2020,144314995,4
2020,144318235,4
2020,144315066,5
2020,144315208,5
2020,144315231,4
2020,144315343,5
2020,144318605,4
2020,144318607,5
2020,144315391,5
2020,144318615,3
2020,144318616,5
2020,144315403,5
2020,144318654,4
2020,144315444,4
2020,144315446,4
2020,144315553,4
2020,145661225,4
2020,145656792,5
2020,145661254,5
2020,145656793,5
2020,145656794,5
2020,145661255,5
2020,145661314,5
2020,145661429,4
2020,145661428,4
2020,145656990,5
2020,145661502,4
2020,145657072,4
2020,145661540,5
2020,145661542,4
2020,145657113,4
2020,145661593,4
2020,145661846,5
2020,145661958,4
2020,145661956,5
2020,145662160,5
2020,145662279,5
2020,145662280,5
2020,145662431,5
2020,145662558,4
2020,145662630,4
2020,145657725,4
2020,145657772,5
2020,145662749,5
2020,145662748,5
2020,145662761,4
2020,145662764,5
2020,144312877,5
2020,144315219,5
2020,144318433,5
2020,144318656,4
2020,144315425,4
2020,144318673,4
2020,144318932,5
2020,144320117,5
2020,144320147,5
2020,144320243,5
2020,144320558,4
2020,144320943,3
2020,144320991,5
2020,144317291,5
2020,144320993,5
2020,144317931,5
2020,144318535,4
2020,144318569,4
2020,144318567,4
2020,144315397,3
2020,144316908,4
2020,144318669,4
2020,144318705,5
2020,144315568,5
2020,144315660,4
2020,144315659,4
2020,144318914,5
2020,144318926,2
2020,144318926,8
2020,144320129,5
2020,144320127,5
2020,144320126,6
2020,144320128,5
2020,144320130,6
2020,144320130,1
2020,144316769,4
2020,144320257,5
2020,144316844,4
2020,144320366,4
2020,144320436,5
2020,144320452,4
2020,144316901,5
2020,144320480,4
2020,144316936,4
2020,144320503,5
2020,144320513,5
2020,145661145,2
2020,145661214,4
2020,145661266,5
2020,145656819,5
2020,145661352,5
2020,145656922,4
2020,145661390,4
2020,145661386,4
2020,145657000,4
2020,145661620,5
2020,145657455,4
2020,145662591,5
2020,145657810,4
2020,144312874,5
2020,144314738,4
2020,144318222,5
2020,144318649,5
2020,144318770,5
2020,144315747,6
2020,144315907,4
2020,144315747,2
2020,144319200,4
2020,144319283,5
2020,144319292,4
2020,144319321,4
2020,144319424,4
2020,144319478,4
2020,144319575,5
2020,144320061,5
2020,144316683,5
2020,144320142,5
2020,144320143,5
2020,144320170,5
2020,144320171,5
2020,144316761,5
2020,144320245,4
2020,144316830,5
2020,144320967,5
2020,144320970,5
2020,144317276,5
2020,144321060,4
2020,144315802,5
2020,144319206,5
2020,144319216,4
2020,144319373,4
2020,144319411,4
2020,144319574,4
2020,144319581,4
2020,144319605,5
2020,144316315,3
2020,144319829,5
2020,144320145,5
2020,144320146,3
2020,144316758,4
2020,144320291,4
2020,144320390,4
2020,144320472,4
2020,144316912,5
2020,144320479,4
2020,144316932,4
2020,144320482,4
2020,144320487,4
2020,144316916,4
2020,144320484,4
2020,144320477,4
2020,144320495,4
2020,144320516,5
2020,144316960,5
2020,144317100,4
2020,144320746,5
2020,144314612,4
2020,144314706,5
2020,144314718,5
2020,144314756,5
2020,144317943,5
2020,144317942,5
2020,144318000,4
2020,144318208,5
2020,144318232,4
2020,144318559,4
2020,144318564,4
2020,144315405,5
2020,144318643,4
2020,144315413,4
2020,144318763,4
2020,144315578,4
2020,144318843,5
2020,144318855,5
2020,144315646,4
2020,144318872,4
2020,144318913,5
2020,144315909,4
2020,144319219,4
2020,144319238,5
2020,144319273,5
2020,144315959,2
2020,144315954,2
2020,144319317,5
2020,144319335,4
2020,144319337,4
2020,144319339,4
2020,144319409,5
2020,144319415,5
2020,144319416,5
2020,144319428,4
2020,144319464,4
