"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2020,20,159823595,32880473
2020,3,159823713,32880492
2020,12,159823864,32880543
2020,18,159826498,32871424
2020,12,159824023,32880568
2020,19,159824037,32880571
2020,12,159824086,32880578
2020,9,159826771,32871468
2020,2,159826905,32871488
2020,12,159824514,32880628
2020,12,159824574,32871582
2020,10,159824574,32871583
2020,19,159824635,32880650
2020,20,159823612,32880476
2020,19,158448954,32479158
2020,3,158449017,32479169
2020,10,158445976,32468609
2020,17,158449084,32468612
2020,12,158449153,32479198
2020,9,158449167,32479209
2020,12,158451208,32468691
2020,12,158451295,32468715
2020,9,158451358,32468737
2020,9,158451357,32468736
2020,12,158451392,32479280
2020,12,158449424,32468746
2020,12,158451413,32479288
2020,12,158449477,32479296
2020,9,158449563,32479315
2020,9,158451540,32468767
2020,10,158449595,32479324
2020,3,158451588,32468785
2020,3,158449639,32479328
2020,12,158451628,32468788
2020,3,158449811,32479353
2020,3,158449972,32479372
2020,12,158449993,32479385
2020,3,158452088,32468876
2020,5,158452149,32479423
2020,12,158450136,32479445
2020,12,158450235,32479490
2020,17,158450237,32479491
2020,12,158450256,32479501
2020,12,158450345,32479512
2020,3,158453050,32469064
2020,12,158447711,32478967
2020,12,158447915,32478992
2020,12,158445049,32468405
2020,18,158448480,32479044
2020,12,158445422,32468461
2020,12,158448551,32479063
2020,9,158448591,32479085
2020,12,158448599,32468502
2020,12,158448005,32479011
2020,3,158448010,32479014
2020,12,158445195,32468425
2020,12,158448536,32479048
2020,9,158445443,32468476
2020,9,158445476,32479080
2020,12,158448641,32479107
2020,3,158445701,32479136
2020,12,159990642,32924558
2020,20,159990754,32924596
2020,20,159990805,32924613
2020,20,159986148,32924695
2020,20,159991321,32924705
2020,12,159996216,32926784
2020,20,159991416,32924717
2020,12,159996261,32926788
2020,2,159991504,32924735
2020,20,159991568,32924741
2020,3,159991634,32926807
2020,20,159991726,32926817
2020,12,159991745,32924772
2020,12,159996504,32926835
2020,12,159991959,32924802
2020,12,159992080,32924835
2020,19,159996659,32924852
2020,12,159992277,32926859
2020,12,158445840,32479150
2020,12,158445851,32468592
2020,9,158449088,32468617
2020,12,158449104,32479185
2020,12,158449169,32479211
2020,12,158451197,32468684
2020,12,158449250,32479237
2020,3,158451227,32468699
2020,12,158451247,32468703
2020,9,158449294,32479250
2020,12,158449334,32479262
2020,12,158449370,32479267
2020,12,158449680,32479332
2020,12,158449691,32479333
2020,12,158451703,32468797
2020,3,158451728,32479346
2020,12,158449792,32479351
2020,12,158444689,32468353
2020,3,158447947,32479004
2020,3,158444819,32468391
