"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2020,123409706,120789368,3,,
2020,123409708,120789370,6,,
2020,123409709,120789371,7,,
2020,123409711,120789374,7,,
2020,123409712,120789375,7,,
2020,123409713,120789377,6,,
2020,123407451,120784224,7,,
2020,123409716,120789380,7,,
2020,123409717,120789381,7,,
2020,123409718,120789382,1,,
2020,123409719,120789383,1,,
2020,123409721,120789385,7,,
2020,123409722,120789386,7,,
2020,123409723,120789387,7,,
2020,123409724,120789388,4,,
2020,123409726,120789389,4,,
2020,123409725,120789389,7,,
2020,123409727,120789390,7,,
2020,123409728,120789391,4,,
2020,123409729,120789392,7,,
2020,123409730,120789393,7,,
2020,123409731,120789394,7,,
2020,123409732,120789395,7,,
2020,123409733,120789396,7,,
2020,123409734,120789397,7,,
2020,123409736,120789399,3,,
2020,123409737,120789400,7,,
2020,123409738,120789401,7,2,
2020,123409742,120789405,4,,
2020,123409741,120789405,7,,
2020,123409743,120789406,7,,
2020,123409744,120789406,4,,
2020,123409749,120789410,1,,
2020,123409748,120789410,8,,
2020,123409747,120789410,6,,
2020,123409750,120789411,7,,
2020,123409751,120789412,7,,
2020,123409752,120789413,6,,
2020,123409753,120789414,7,,
2020,123409754,120789415,3,,
2020,123409755,120789417,7,,
2020,123409757,120789419,7,,
2020,123409758,120789420,7,,
2020,123409759,120789421,7,,
2020,123409760,120789422,7,,
2020,123409761,120789423,3,,
2020,123409762,120789424,6,,
2020,123409763,120789425,7,,
2020,123409765,120789427,6,,
2020,123409766,120789428,7,,
2020,123409767,120789429,7,,
2020,123409768,120789430,7,,
2020,123409769,120789431,7,,
2020,123409770,120789434,7,,
2020,123409772,120789436,7,,
2020,123409773,120789437,6,,
2020,123409774,120789438,7,1,
2020,123409776,120789440,7,,
2020,123409777,120789442,7,,
2020,123409778,120789443,6,,
2020,123409780,120789444,1,,
2020,123409779,120789444,6,,
2020,123409782,120789447,7,,
2020,123409783,120789448,7,,
2020,123409784,120789449,7,,
2020,123409785,120789450,7,,
2020,123409787,120789452,4,,
2020,123409788,120789453,7,,
2020,123409789,120789454,7,,
2020,123409790,120789455,7,,
2020,123409791,120789455,4,,
2020,123409792,120789456,4,,
2020,123409793,120789457,7,,
2020,123409794,120789458,7,,
2020,123409795,120789459,4,,
2020,123409796,120789460,7,,
2020,123409797,120789461,7,,
2020,123409798,120789462,7,,
2020,123409799,120789463,4,,
2020,123409801,120789465,7,,
2020,123409803,120789467,4,,
2020,123409804,120789468,7,,
2020,123409805,120789469,7,,
2020,123409806,120789470,6,,
2020,123409807,120789471,7,,
2020,123409808,120789472,7,,
2020,123409809,120789473,7,,
2020,123409811,120789475,7,,
2020,123409812,120789476,4,,
2020,123409813,120789477,7,,
2020,123409814,120789478,7,,
2020,123409816,120789480,6,,
2020,123409817,120789481,7,,
2020,123409818,120789482,7,,
2020,123409819,120789483,7,,
2020,123409820,120789485,7,,
2020,123409821,120789486,7,,
2020,123409822,120789487,7,,
2020,123409824,120789490,4,,
2020,123409825,120789491,4,,
2020,123409826,120789492,7,,
2020,123409827,120789493,6,,
2020,123409828,120789494,7,,
2020,123409829,120789495,7,,
2020,123409830,120789496,6,,
2020,123409831,120789498,7,,
2020,123409833,120789500,1,,
2020,123409832,120789500,6,,
2020,123409834,120789501,4,,
2020,123409835,120789502,7,,
2020,123409836,120789503,4,,
2020,123409838,120789505,4,,
2020,123409837,120789505,7,,
2020,123409839,120789506,1,,
2020,123409840,120789507,1,,
2020,123409841,120789508,7,,
2020,123409842,120789509,7,,
2020,123409843,120789510,4,,
2020,123409844,120789512,7,,
2020,123409846,120789516,7,,
2020,123409847,120789519,7,,
2020,123409848,120789522,7,,
2020,123409849,120789523,7,,
2020,123409850,120789524,7,,
2020,123409852,120789526,7,,
2020,123409853,120789527,7,,
2020,123409854,120789530,7,,
2020,123409855,120789530,4,,
2020,123409856,120789531,7,,
2020,123409857,120789533,4,,
2020,123409858,120789534,7,,
2020,123409859,120789535,7,,
2020,123409860,120789536,7,,
2020,123409861,120789537,4,,
2020,123409862,120789540,4,,
2020,123409863,120789543,7,,
2020,123409864,120789544,4,,
2020,123409865,120789545,4,,
2020,123409866,120789546,4,,
2020,123409867,120789547,1,,
2020,123409869,120789549,7,,
2020,123409870,120789550,1,,
2020,123409871,120789551,7,,
2020,123409872,120789552,7,,
2020,123409873,120789553,4,,
2020,123409874,120789554,4,,
2020,123409875,120789556,7,,
2020,123409877,120789557,6,,
2020,123409876,120789557,7,,
2020,123409878,120789558,7,,
2020,123409879,120789559,6,,
2020,123409880,120789562,4,,
2020,123409883,120789565,7,,
2020,123409885,120789568,4,,
2020,123409887,120789571,7,,
2020,123409888,120789571,4,,
2020,123409890,120789573,6,,
2020,123409891,120789574,7,,
2020,123409892,120789575,7,,
2020,123409894,120789579,7,,
2020,123409896,120789581,7,,
2020,123409898,120789584,7,,
2020,123409899,120789585,7,,
2020,123409901,120789588,7,,
2020,123409902,120789590,1,,
2020,123409904,120789592,4,,
2020,123409905,120789593,6,,
2020,123409906,120789594,7,,
2020,123409907,120789595,6,,
2020,123409909,120789597,4,,
2020,123409911,120789599,6,,
2020,123409912,120789601,7,,
2020,123409913,120789602,7,,
2020,123409914,120789603,7,,
2020,123409915,120789604,7,,
2020,123409916,120789606,7,,
2020,123409917,120789607,7,,
2020,123409918,120789608,7,,
2020,123409919,120789611,7,,
2020,123409920,120789612,7,,
2020,123409921,120789613,6,,
