"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2020,21,161892909
2020,21,161893050
2020,21,161893055
2020,21,161893066
2020,21,161888217
2020,21,161893072
2020,21,161893077
2020,21,161893079
2020,21,161893136
2020,21,161893157
2020,21,161893158
2020,21,161893190
2020,21,161893189
2020,21,161893194
2020,21,161888297
2020,21,161893199
2020,21,161888302
2020,21,161888305
2020,21,161893214
2020,21,161893218
2020,21,161893220
2020,21,161893233
2020,21,161893252
2020,21,161893259
2020,21,161888388
2020,21,161888420
2020,21,161893501
2020,21,161893589
2020,21,161893587
2020,21,161893947
2020,21,161893984
2020,21,161894038
2020,21,161894037
2020,21,161894117
2020,21,161894394
2020,21,163651202
2020,21,163651233
2020,21,163651611
2020,21,163647739
2020,21,163647869
2020,21,163647905
2020,21,163648045
2020,21,163648124
2020,21,163652005
2020,21,163652415
2020,21,163648668
2020,21,163648707
2020,21,163649026
2020,21,163648455
2020,21,163652510
2020,21,163648796
2020,21,163648216
2020,21,163648925
2020,21,163652773
2020,21,163652775
2020,21,163652841
2020,21,163649106
2020,21,163649107
2020,21,163646069
2020,21,163646068
2020,21,163647289
2020,21,163647288
2020,21,163646127
2020,21,163651890
2020,21,163648092
2020,21,163649041
2020,21,163646079
2020,21,163646102
2020,21,163646123
2020,21,163647358
2020,21,163651195
2020,21,163651199
2020,21,163647394
2020,21,163651210
2020,21,163651221
2020,21,163647435
2020,21,163651266
2020,21,163651267
2020,21,163651294
2020,21,163647473
2020,21,163651605
2020,21,163648253
2020,21,163652667
2020,21,163648938
2020,21,163647920
2020,21,163648565
2020,21,163648917
2020,21,163652770
2020,21,163652080
2020,21,163648535
2020,21,163649040
2020,21,163648226
2020,21,163648918
2020,21,163651872
2020,21,163648930
2020,21,163652766
2020,21,163652782
2020,21,163652783
2020,21,148216741
2020,21,148227470
2020,21,148227471
2020,21,148227472
2020,21,148227473
2020,21,148227474
2020,21,148227475
2020,21,148227479
2020,21,148227478
2020,21,148216753
2020,21,148231367
2020,21,148231368
2020,21,148227482
2020,21,148231370
2020,21,148227486
2020,21,148227488
2020,21,148227489
2020,21,148227490
2020,21,148227491
2020,21,148227492
2020,21,148216770
2020,21,148227494
2020,21,148216779
2020,21,148227502
2020,21,148227507
2020,21,148227508
2020,21,148227509
2020,21,148231389
2020,21,148227510
2020,21,148231390
2020,21,148231394
2020,21,148227513
2020,21,148216791
2020,21,148227518
2020,21,148231399
2020,21,148227520
2020,21,148227522
2020,21,148227523
2020,21,148227524
2020,21,148227526
2020,21,148231407
2020,21,148227528
2020,21,148227529
2020,21,148227530
2020,21,148231409
2020,21,148227532
2020,21,148227536
2020,21,148227539
2020,21,148227541
2020,21,148216817
2020,21,148216818
2020,21,148227543
2020,21,148216822
2020,21,148227544
2020,21,148227547
2020,21,148227549
2020,21,148216835
2020,21,148216838
2020,21,148227558
2020,21,148231444
2020,21,148231445
2020,21,148227565
2020,21,148227566
2020,21,148227570
2020,21,148227571
2020,21,148216855
2020,21,148227578
2020,21,148227579
2020,21,148227580
2020,21,148227581
2020,21,148216861
2020,21,148227582
2020,21,148227583
2020,21,148227584
2020,21,148227585
2020,21,148227586
2020,21,148227587
2020,21,148216866
2020,21,148227591
2020,21,148227592
2020,21,148227594
2020,21,148227595
2020,21,148227596
2020,21,148227597
2020,21,148216876
2020,21,148227600
2020,21,148227603
2020,21,148227605
2020,21,148227606
2020,21,148227607
2020,21,148227608
2020,21,148227609
2020,21,148227610
2020,21,148227613
2020,21,148227614
2020,21,148216892
2020,21,148227616
2020,21,148227615
2020,21,148216893
2020,21,148216894
2020,21,148227618
2020,21,148227620
2020,21,148227623
2020,21,148227625
2020,21,148227626
2020,21,148216900
2020,21,148227627
2020,21,148227628
2020,21,148227630
2020,21,148227632
2020,21,148227633
2020,21,148227634
2020,21,148227635
2020,21,148227636
2020,21,148216912
2020,21,148227640
2020,21,148227639
2020,21,148216916
2020,21,148227642
2020,21,148227643
2020,21,148227644
2020,21,148227647
2020,21,148227646
2020,21,148227648
2020,21,148216918
2020,21,148216920
2020,21,148227651
2020,21,148227653
2020,21,148227654
2020,21,148227656
2020,21,148227657
2020,21,148227658
2020,21,148227659
2020,21,148227662
2020,21,148227664
2020,21,148216925
2020,21,148216926
2020,21,148227665
2020,21,148227666
2020,21,148227667
2020,21,148227668
2020,21,148216930
2020,21,148216933
2020,21,148227670
2020,21,148227671
2020,21,148227672
2020,21,148227673
2020,21,146275899
2020,21,146275932
2020,21,146269455
2020,21,146275988
2020,21,146276010
2020,21,146276030
2020,21,146276060
2020,21,146276061
2020,21,146269547
2020,21,146276085
2020,21,146269576
2020,21,146276151
2020,21,146276154
2020,21,146269597
2020,21,146276160
2020,21,146276170
2020,21,146276177
2020,21,146276179
2020,21,146276188
2020,21,146276189
2020,21,146276192
2020,21,146276199
2020,21,146276217
2020,21,146276224
2020,21,146276225
2020,21,146276242
2020,21,146276243
2020,21,146276287
2020,21,146276288
2020,21,146276290
2020,21,146276298
2020,21,146276329
2020,21,146276330
2020,21,146276344
2020,21,146276352
2020,21,146276363
2020,21,146276365
2020,21,146276367
2020,21,146276368
2020,21,146276370
2020,21,146276369
2020,21,146276376
2020,21,146269647
2020,21,146276381
2020,21,146276389
2020,21,146276391
2020,21,146276390
2020,21,146276395
2020,21,146276394
2020,21,146276402
2020,21,146276408
2020,21,146276409
2020,21,146276423
2020,21,146276429
2020,21,146276430
2020,21,146276433
2020,21,146276434
2020,21,146276435
2020,21,146276448
2020,21,146276451
2020,21,146276466
2020,21,146276469
2020,21,146269673
2020,21,146276475
2020,21,146276500
2020,21,146276503
2020,21,146276512
2020,21,146276513
2020,21,146276516
2020,21,146276517
2020,21,146276526
2020,21,146276527
2020,21,146276528
2020,21,146276530
2020,21,146276531
2020,21,146276534
2020,21,146276535
2020,21,146276547
2020,21,146276549
2020,21,146276550
2020,21,146276551
2020,21,146276552
2020,21,146276555
2020,21,146276565
2020,21,146276566
2020,21,146276568
2020,21,146276570
2020,21,146276571
2020,21,146276580
2020,21,146276582
2020,21,146276585
2020,21,146276584
2020,21,146276588
2020,21,146276596
2020,21,146276615
2020,21,146276620
2020,21,146276621
2020,21,146276622
2020,21,146276624
2020,21,146276631
2020,21,146276632
2020,21,146276644
2020,21,146276650
2020,21,146276675
2020,21,146276676
2020,21,146276677
2020,21,146276679
2020,21,146276690
2020,21,146276691
2020,21,146276702
2020,21,146276927
2020,21,146276928
2020,21,146276931
2020,21,146276934
2020,21,146276936
2020,21,146276942
2020,21,146276944
2020,21,146276954
2020,21,146276955
2020,21,146276956
2020,21,146276959
2020,21,146276958
2020,21,146276960
2020,21,146276962
2020,21,146276963
2020,21,146276965
2020,21,146276966
2020,21,146276983
2020,21,146276987
2020,21,146276995
2020,21,146276996
2020,21,146277000
2020,21,146277001
2020,21,146277008
2020,21,146277010
2020,21,146277011
2020,21,146277015
2020,21,146277016
2020,21,146277018
2020,21,146277020
2020,21,146277022
2020,21,146277023
2020,21,146277024
2020,21,146277025
2020,21,146277027
2020,21,146277028
2020,21,146277030
2020,21,146277032
2020,21,146277031
2020,21,146277034
2020,21,146277041
2020,21,146277043
2020,21,146277042
2020,21,146277045
2020,21,146277047
2020,21,146277046
2020,21,146277050
2020,21,146277056
2020,21,146277057
2020,21,146277062
2020,21,146277063
2020,21,146277074
2020,21,146277075
2020,21,146277086
2020,21,146277087
2020,21,146277089
2020,21,146277091
2020,21,146277090
2020,21,146277099
2020,21,146277102
2020,21,146277103
2020,21,146277104
2020,21,146277107
2020,21,146277108
2020,21,146277112
2020,21,146277111
2020,21,146277114
2020,21,146277119
2020,21,146277121
2020,21,146277120
2020,21,146277122
2020,21,146277124
2020,21,146277125
2020,21,146277129
2020,21,146277130
2020,21,146277131
2020,21,146277135
2020,21,146277136
2020,21,146277139
2020,21,146277140
2020,21,146277147
2020,21,146277153
2020,21,146277154
2020,21,146277157
2020,21,146277156
2020,21,146277158
2020,21,146277170
2020,21,146277172
2020,21,146277173
2020,21,146277179
2020,21,146277178
2020,21,146277180
2020,21,146277181
2020,21,146277192
2020,21,146277193
2020,21,146277194
2020,21,146277195
2020,21,146277196
2020,21,146277201
2020,21,146277202
2020,21,146277209
2020,21,146277210
2020,21,146277227
2020,21,146277228
2020,21,146277230
2020,21,146277231
2020,21,146277232
2020,21,146277235
2020,21,146277236
2020,21,146277239
2020,21,146277240
2020,21,146277241
2020,21,146277248
2020,21,146277249
2020,21,146277251
2020,21,146277252
2020,21,146277253
2020,21,146277268
2020,21,146277270
2020,21,146277269
2020,21,146277271
2020,21,146277272
2020,21,146277273
2020,21,146277280
2020,21,146277282
2020,21,146277283
2020,21,146277285
2020,21,146277289
2020,21,146277290
2020,21,146277292
2020,21,146277291
2020,21,146277293
2020,21,146277295
2020,21,146277303
2020,21,146277304
2020,21,146277305
2020,21,146277314
2020,21,148216942
2020,21,148227678
2020,21,148227679
2020,21,148227680
2020,21,148227681
2020,21,148227682
2020,21,148216948
2020,21,148227684
2020,21,148227685
2020,21,148227686
2020,21,148216957
2020,21,148227688
2020,21,148227689
2020,21,148227691
2020,21,148227690
2020,21,148227692
2020,21,148227694
2020,21,148227693
2020,21,148227695
2020,21,148227696
2020,21,148227697
2020,21,148227674
2020,21,148227698
2020,21,148227699
2020,21,148227700
2020,21,148227701
2020,21,148227702
2020,21,148227704
2020,21,148227703
2020,21,148227708
2020,21,148227709
2020,21,148227710
2020,21,148227675
2020,21,148227711
2020,21,148227712
2020,21,148227714
2020,21,148227715
2020,21,148227716
2020,21,148227717
2020,21,148227718
2020,21,148227719
2020,21,148227720
2020,21,148227721
2020,21,148227722
2020,21,148216987
2020,21,148227723
2020,21,148227724
2020,21,148227725
2020,21,148227727
2020,21,148227729
2020,21,148227676
2020,21,148227732
2020,21,148227733
2020,21,148227736
2020,21,148227737
2020,21,148227738
2020,21,148227739
2020,21,148227740
2020,21,148227741
2020,21,148227743
2020,21,148217007
2020,21,148217008
2020,21,148227744
2020,21,148227745
2020,21,148227746
2020,21,148227748
2020,21,148227749
2020,21,148227750
2020,21,148227751
2020,21,148227752
2020,21,148227753
2020,21,148227754
2020,21,148227755
2020,21,148227759
2020,21,148227761
2020,21,148227760
2020,21,148227762
2020,21,148227763
2020,21,148227764
2020,21,148227765
2020,21,148227768
2020,21,148227769
2020,21,148217019
2020,21,148227770
2020,21,148227771
2020,21,148227773
2020,21,148227774
2020,21,148227775
2020,21,148227776
2020,21,148227777
2020,21,148217031
2020,21,148217032
2020,21,148227779
2020,21,148227781
2020,21,148227782
2020,21,148227786
2020,21,148217035
2020,21,148217036
2020,21,148227787
2020,21,148227788
2020,21,148227789
2020,21,148227791
2020,21,148227792
2020,21,148217039
2020,21,148217040
2020,21,148227795
