"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2020,4,161888146
2020,4,161888167
2020,4,161888736
2020,4,161893950
2020,4,161888969
2020,3,161889275
2020,4,161889352
2020,4,161889391
2020,1,163646127
2020,4,163646069
2020,4,163646068
2020,4,163647289
2020,4,163647288
2020,4,163651890
2020,4,163648092
2020,1,163649041
2020,4,163647334
2020,4,163651214
2020,4,163651238
2020,1,156828614
2020,4,156828642
2020,4,156828647
2020,3,156828662
2020,3,156828670
2020,4,156828676
2020,4,156828706
2020,4,156828707
2020,4,156828734
2020,4,156828740
2020,4,156828752
2020,4,156829078
2020,4,156829089
2020,4,156829094
2020,4,156829132
2020,4,156829146
2020,3,156832969
2020,4,156829181
2020,4,156829185
2020,4,156829192
2020,4,156832982
2020,4,156829234
2020,4,156829240
2020,4,156833005
2020,4,156829310
2020,4,156829331
2020,4,156833011
2020,4,156829385
2020,4,156829394
2020,4,156829410
2020,4,156829425
2020,4,156829538
2020,3,156829549
2020,4,156829572
2020,4,156833074
2020,4,156829641
2020,4,156829649
2020,4,156833113
2020,1,156829691
2020,4,156829708
2020,4,156829715
2020,4,156829725
2020,4,156833141
2020,4,156829774
2020,1,156829793
2020,4,156833180
2020,4,156829871
2020,4,156829884
2020,4,156829897
2020,4,156829905
2020,4,156833198
2020,4,156829932
2020,4,156829942
2020,4,156829976
2020,4,156829992
2020,1,156830023
2020,4,156830041
2020,4,156830052
2020,4,156830065
2020,4,156833234
2020,4,156830083
2020,4,156830118
2020,4,156830157
2020,4,156830181
2020,4,156830209
2020,4,156830359
2020,4,156833351
2020,4,156830409
2020,4,156830441
2020,4,156830455
2020,4,156830465
2020,4,156830478
2020,4,156830487
2020,4,156830492
2020,4,156833396
2020,4,156830542
2020,4,156830556
2020,4,156830570
2020,4,156833440
2020,4,156830684
2020,4,156830708
2020,4,156830722
2020,4,156830733
2020,4,156833466
2020,4,156830798
2020,4,156830806
2020,4,156833081
2020,1,156829624
2020,4,156833100
2020,4,156829694
2020,4,156829693
2020,4,156829748
2020,4,156829770
2020,4,156829775
2020,4,156829805
2020,1,156829923
2020,4,156829933
2020,4,156830008
2020,4,156830016
2020,3,156830056
2020,3,156833231
2020,4,156830070
2020,4,156830089
2020,4,156830091
2020,4,156830104
2020,4,156830134
2020,4,156830172
2020,4,156830173
2020,2,156833268
2020,3,156830228
2020,4,156830266
2020,4,156833304
2020,4,156830284
2020,4,156830304
2020,4,156830330
2020,4,156833329
2020,4,156830352
2020,4,156830367
2020,4,156830416
2020,4,156830420
2020,4,156830427
2020,4,156833369
2020,4,156830447
2020,4,156830470
2020,4,156830489
2020,4,156830495
2020,4,156830498
2020,4,156830532
2020,4,156830539
2020,4,156830551
2020,2,156830587
2020,4,156833417
2020,4,156830613
2020,4,156833429
2020,4,156830622
2020,4,156830631
2020,3,156830659
2020,4,156830713
2020,4,156833455
2020,4,156830745
2020,4,156833463
2020,4,156830768
2020,1,156828645
2020,4,156828697
2020,4,156828751
2020,4,156828767
2020,4,156828772
2020,4,156828778
2020,4,156828802
2020,4,156828857
2020,4,156828869
2020,4,156828877
2020,4,156828878
2020,4,156828883
2020,4,156828897
2020,4,156832896
2020,4,156828908
2020,4,156828906
2020,4,156828914
