"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2020,147785321,1,
2020,147785331,1,
2020,144318611,10,
2020,144315392,10,
2020,144318617,10,
2020,144318643,1,
2020,144315413,1,
2020,144315953,10,
2020,144315954,10,
2020,144315959,10,
2020,144319464,6,
2020,144316254,10,
2020,144319639,1,
2020,144319649,1,
2020,144320367,1,
2020,144317374,1,
2020,144315604,10,
2020,144315366,10,
2020,145661851,10,
2020,145662562,10,
2020,145662710,6,
2020,144320138,1,
2020,144320138,6,
2020,144320998,10,
2020,144317298,10,
2020,145662444,1,
2020,144312686,6,
2020,144317911,6,
2020,144315361,1,
2020,144315361,6,
2020,144316769,1,
2020,144315378,6,
2020,144315378,1,
2020,144318600,6,
2020,144318610,10,
2020,144315390,6,
2020,144318609,1,
2020,144318619,10,
2020,144319232,1,
2020,144319513,6,
2020,144319814,1,
2020,144320188,11,3
2020,144320206,10,
2020,144315747,10,
2020,144320143,9,
2020,144320142,9,
2020,144316683,9,
2020,144320245,1,
2020,144319862,1,
2020,144319014,10,
2020,144319013,10,
2020,144319326,6,
2020,144319861,1,
2020,144320149,1,
2020,144316777,1,
2020,144320939,10,
2020,144321018,1,
2020,144320140,6,
2020,144315958,1,
2020,144319641,10,
2020,144320139,6,
2020,144320183,6,
2020,144316770,1,
2020,144320693,10,
2020,144317087,10,
2020,144320904,10,
2020,144320959,9,
2020,144319022,10,
2020,144319020,10,
2020,144319647,9,
2020,144319317,6,
2020,144319409,1,
2020,144316486,6,
2020,146107065,10,
2020,146107472,6,
2020,146107728,1,
2020,145839732,1,
2020,145839732,9,
2020,145840732,1,
2020,146106521,1,
2020,146106523,1,
2020,146110949,10,
2020,146107693,1,
2020,145837007,10,
2020,145840195,10,
2020,145836930,9,
2020,145840165,1,
2020,145842965,1,
2020,146107058,10,
2020,146107259,10,
2020,146107311,1,
2020,146106206,9,
2020,146508728,1,
2020,146507232,10,
2020,146106520,10,
2020,146107148,10,
2020,146107227,10,
2020,146111067,9,
2020,146508724,8,
2020,146508748,6,
2020,146106529,9,
2020,146106531,9,
2020,146106217,6,
2020,146106217,1,
2020,146106540,6,
2020,146106540,1,
2020,146107070,10,
2020,146107108,1,
2020,146107481,1,
