"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2020,9,148228273
2020,6,148228278
2020,9,148228281
2020,9,148228283
2020,6,148228284
2020,6,148228286
2020,9,148228287
2020,6,148228290
2020,9,148228292
2020,9,148228297
2020,9,148228298
2020,6,148228299
2020,9,148228302
2020,9,148228306
2020,6,148228308
2020,6,148228310
2020,9,148228322
2020,6,148228323
2020,9,148228328
2020,9,148228340
2020,6,148228352
2020,9,148228354
2020,9,148228357
2020,9,148228360
2020,6,148228369
2020,6,148228370
2020,6,148228378
2020,6,148228379
2020,9,148228380
2020,6,148228381
2020,9,148228385
2020,9,148228389
2020,6,148228392
2020,9,148228393
2020,4,148228394
2020,9,148228400
2020,9,148228401
2020,9,148228403
2020,6,148228408
2020,9,146275933
2020,6,148228415
2020,6,148228417
2020,6,148228422
2020,6,148228423
2020,9,148228425
2020,6,148228426
2020,9,148228431
2020,6,148228436
2020,6,148228437
2020,9,148228438
2020,6,148228451
2020,9,148228455
2020,6,148228458
2020,6,148228460
2020,3,148228468
2020,6,148228475
2020,9,146276023
2020,9,148228476
2020,6,148228479
2020,6,148228480
2020,9,146276071
2020,9,148228483
2020,9,148228495
2020,6,146276111
2020,6,148228496
2020,6,148228501
2020,9,148228502
2020,9,148228507
2020,6,146276133
2020,6,148228508
2020,9,148228509
2020,6,148228510
2020,6,146276213
2020,6,148228514
2020,9,148228516
2020,6,146276271
2020,6,146276277
2020,9,146276337
2020,9,146276347
2020,9,146276350
2020,6,146276360
2020,6,146276383
2020,9,146276385
2020,6,146276443
2020,9,148228533
2020,9,148228535
2020,6,146269690
2020,6,148228537
2020,9,146276522
2020,9,146276541
2020,9,146276546
2020,9,146276554
2020,6,146276564
2020,6,146276591
2020,9,146276600
2020,6,146276606
2020,6,146276628
2020,6,146276634
2020,6,146276652
2020,9,146276653
2020,6,146276659
2020,6,146276661
2020,6,146276662
2020,6,146276701
2020,3,146276714
2020,6,146276716
2020,6,146276717
2020,6,146276726
2020,9,146276728
2020,6,146276730
2020,6,146276731
2020,1,148228539
2020,8,148228540
2020,6,146276735
2020,9,146276736
2020,8,146276737
2020,9,146276738
2020,9,146276739
2020,6,148228541
2020,6,146276744
2020,6,146276745
2020,9,146276746
2020,9,146276747
2020,6,146276748
2020,9,146276755
2020,9,146276763
2020,9,146276766
2020,6,146276767
2020,8,146276770
2020,6,146276772
2020,6,146276775
2020,6,146276778
2020,6,146276781
2020,6,146276786
2020,6,146276795
2020,9,146276800
2020,9,146276806
2020,9,146275899
2020,6,146275932
2020,6,146269455
2020,6,146276061
2020,9,146276160
2020,6,146276170
2020,6,146276189
2020,9,146276217
2020,9,146276242
2020,6,146276243
2020,6,146276330
2020,6,146276352
2020,6,146276363
2020,9,146276365
2020,9,146269647
2020,9,146276402
2020,9,146276409
2020,9,146276429
2020,6,146276433
2020,6,146276435
2020,9,146276448
2020,9,146276451
2020,6,146276469
2020,9,146276503
2020,3,146276512
2020,6,146276526
2020,9,146276528
2020,3,146276531
2020,6,146276552
2020,6,146276555
2020,6,146276584
2020,3,146276615
2020,9,146276621
2020,6,146276632
2020,9,146276650
2020,6,146276691
2020,8,146276936
2020,6,146276963
2020,6,146276966
2020,6,146276983
2020,6,146276995
2020,9,146276996
2020,6,146277010
2020,6,146277011
2020,6,146277015
2020,9,146277016
2020,6,146277024
2020,6,146277027
2020,6,146277030
2020,9,146277032
2020,9,146277042
2020,3,146277045
2020,6,146277047
2020,9,146277046
2020,3,146277074
2020,6,146277075
2020,6,146277091
2020,6,146277090
2020,6,146277099
2020,6,146277102
2020,6,146277103
2020,9,146277104
2020,9,146277119
2020,9,146277120
2020,9,146277136
2020,9,146277139
2020,9,146277140
2020,9,146277147
2020,6,146277173
2020,6,146277179
2020,6,146277178
2020,6,146277180
2020,9,146277192
2020,6,146277209
2020,3,146277231
2020,11,146277236
2020,6,146277239
2020,6,146277240
2020,6,146277241
2020,6,146277248
2020,8,146277251
2020,6,146277252
2020,9,146277253
2020,6,146277268
2020,6,146277270
2020,6,146277269
2020,6,146277271
2020,6,146277273
2020,9,146277295
2020,6,146277304
2020,9,146277337
2020,9,146277358
2020,6,146277361
2020,9,146277368
2020,6,146277369
2020,6,146277380
2020,6,146277378
2020,6,146277379
2020,9,146277391
2020,9,146277393
2020,9,146277416
2020,9,146277420
2020,9,146277425
2020,6,146277427
2020,9,146277435
2020,9,146277437
2020,6,146277440
2020,9,146277443
2020,6,146277445
2020,9,146277454
2020,6,146277477
2020,2,146277482
2020,6,146277512
2020,2,146277528
2020,9,146277564
2020,3,146277565
2020,9,146277571
2020,9,146277591
2020,6,146277595
2020,9,146277636
2020,9,146277638
2020,9,146277658
2020,6,146277669
2020,6,146277682
2020,6,146270029
2020,9,146277696
2020,9,146277697
2020,9,146277698
2020,9,146277730
2020,9,146277734
2020,6,146277736
2020,6,146277737
2020,6,146277740
2020,9,146277741
2020,6,146277754
2020,6,146277755
2020,6,146277779
2020,8,146277781
2020,6,146277783
2020,9,146277786
2020,8,146277791
2020,2,146277815
2020,9,146277819
2020,6,146277829
2020,6,146277830
2020,6,146277831
2020,6,146277834
2020,6,146277836
2020,9,146277837
2020,6,146277845
2020,6,146277846
2020,6,146277849
2020,9,146277854
2020,6,146277859
2020,9,146277863
2020,6,146277865
2020,6,146277866
2020,9,146277867
2020,9,146277892
2020,6,146277895
2020,6,146277905
2020,9,146277909
2020,9,146277914
2020,9,146277917
2020,6,146277919
2020,6,146277922
2020,9,146277923
2020,9,146277925
2020,6,146277926
2020,9,146277928
2020,9,146277939
2020,9,146277941
2020,9,146277945
2020,9,146277946
2020,9,146277948
2020,9,146277956
2020,9,146277961
2020,9,146277967
2020,9,146277968
2020,9,146277975
2020,9,146277977
2020,8,146277986
2020,6,146277989
2020,6,146277991
2020,9,146277992
2020,9,146277998
2020,9,146278000
2020,9,146278004
2020,6,146278008
2020,9,146278012
2020,9,146278019
2020,9,146278023
2020,6,146278025
2020,6,146278029
2020,6,146278031
2020,8,146278035
2020,9,146278036
2020,9,146278041
2020,9,146278043
2020,9,146278046
2020,9,146278047
2020,6,146278050
2020,7,146278051
2020,9,146278055
2020,9,146278060
2020,6,146278078
2020,6,146278090
2020,6,146278095
2020,3,146278097
2020,6,146278098
2020,6,146278099
2020,6,146278100
2020,6,146278102
2020,6,146278103
2020,6,146278110
2020,6,146278109
2020,6,146278113
2020,6,146278127
2020,6,146278128
2020,9,146278133
2020,3,146278134
2020,9,146278135
2020,9,146278136
2020,2,146278153
2020,6,146278165
2020,6,146278170
2020,6,146278174
2020,6,146278181
2020,9,146278184
2020,3,146278185
2020,6,146278189
2020,9,146278186
2020,6,146278187
2020,9,146278191
2020,6,146278192
2020,9,146278195
2020,6,146278196
2020,9,146278198
2020,6,146278199
2020,6,146278200
2020,6,146278205
2020,9,146278211
2020,6,146278218
2020,9,146278224
2020,8,146278225
2020,9,146278223
2020,9,146278227
2020,9,146278229
2020,9,146278236
2020,6,146278237
2020,6,146278238
2020,9,146278240
2020,6,146278242
2020,6,146278246
2020,6,146278265
2020,8,146278271
2020,6,146278272
2020,6,146278274
2020,6,146278277
2020,6,146278276
2020,6,146278278
2020,3,146278281
2020,9,146278283
2020,6,146278285
2020,6,146278286
2020,9,146278290
2020,6,146278292
2020,9,146278296
2020,9,146278300
2020,6,146278303
2020,6,146278302
2020,9,146278305
2020,9,146278306
2020,9,146278308
2020,9,146278312
2020,9,146278315
2020,9,146278318
2020,9,146278332
2020,9,146278333
2020,9,146278341
2020,9,146278342
2020,3,146278347
2020,6,146278348
2020,6,146278349
2020,6,146278350
2020,6,146278351
2020,9,146278354
2020,9,146278355
2020,9,146278356
2020,9,146278360
2020,6,146278366
2020,9,146278370
2020,6,146278372
2020,6,146278374
2020,6,146278373
2020,6,146278375
2020,3,146278384
2020,6,146278387
2020,6,146278388
2020,6,146278389
2020,9,146278394
2020,9,146278398
2020,9,146278404
2020,9,146278407
2020,9,146278412
2020,9,146278425
2020,9,146278426
2020,6,146278427
2020,9,146278435
2020,6,146278436
2020,6,146278439
2020,6,146278438
2020,8,146278442
2020,9,146278443
2020,9,146278446
2020,9,146276820
2020,6,146276824
2020,9,146276834
2020,9,146276842
2020,9,146276862
2020,9,146276870
2020,9,146276872
2020,9,146276876
2020,6,146276882
2020,9,146276883
2020,9,146276885
2020,6,146276887
2020,6,146276912
2020,9,146276915
2020,9,146276921
2020,8,146276968
2020,6,146276969
2020,6,146276971
2020,6,146276979
2020,6,146276980
2020,9,146276991
2020,9,146276993
2020,6,146277006
2020,9,146277036
2020,3,146277039
2020,9,146277054
2020,2,146277065
2020,9,146277067
2020,3,146277078
2020,6,146277080
2020,6,146277082
2020,9,146277084
2020,6,146277093
2020,6,146277094
2020,6,146277116
2020,6,146277143
2020,6,146277146
2020,9,146277159
2020,6,146277162
2020,6,146277166
2020,8,146277175
2020,9,146277184
2020,6,146277213
2020,9,146277216
2020,6,146277223
2020,3,146277225
2020,6,146277243
2020,9,146277255
2020,6,146277278
2020,6,146277297
2020,6,146277298
2020,6,146277299
2020,6,146277302
2020,6,146277307
2020,6,146277311
2020,9,146277334
2020,6,146277341
2020,7,146277343
2020,9,146277353
2020,9,146277359
2020,9,146277373
2020,6,146277385
2020,9,146277404
2020,9,146277429
2020,9,146277430
2020,6,146277434
2020,6,146277438
2020,6,146277448
2020,9,146277466
2020,9,146277470
2020,6,146277490
2020,9,146277492
2020,9,146277498
2020,8,146277505
2020,9,146277508
2020,6,146277510
2020,6,146277519
2020,6,146277559
2020,6,146277561
2020,6,146277575
2020,6,146277599
2020,6,146277601
2020,6,146277606
2020,6,146277607
2020,9,146277609
2020,6,146277626
2020,6,146277641
2020,6,146277655
2020,9,146278449
2020,9,146278451
2020,6,146278461
2020,6,146278463
2020,6,146278464
2020,9,146278467
2020,2,146278468
2020,9,146278469
2020,9,146278472
2020,9,146278474
2020,9,146278475
2020,9,146278478
2020,6,146278482
2020,9,146278484
2020,6,146278488
2020,9,146278490
2020,9,146278492
2020,9,146278493
2020,6,146278496
2020,9,146278501
2020,6,146278502
2020,6,146278511
2020,6,146278512
2020,9,146278513
2020,6,146278535
2020,6,146278539
2020,6,146278540
2020,6,146278541
2020,9,146278542
2020,6,146278548
2020,9,146275872
2020,9,146275911
2020,6,146275948
2020,6,146275991
2020,6,146276027
2020,3,146276032
2020,6,146276051
2020,6,146269535
2020,9,146276089
2020,6,146276106
2020,6,146276146
2020,9,146276256
2020,9,146276257
2020,9,146269619
2020,9,146276284
2020,9,146276318
2020,9,146269632
2020,6,146276338
2020,9,146276346
2020,9,146269643
2020,6,146276414
2020,6,146276506
2020,6,146276507
2020,3,160788575
2020,6,146269442
2020,9,146275902
2020,9,146275823
2020,6,146275881
2020,9,146275950
2020,9,146275957
2020,6,146276008
2020,8,146276016
2020,2,146276017
2020,9,146269507
2020,9,146276064
2020,9,146269545
2020,9,146276208
2020,9,146276248
2020,9,146269621
2020,9,146275829
2020,11,146275865
2020,9,153788118
2020,9,153788448
2020,9,153789876
2020,3,153793416
2020,6,153793447
2020,8,153793449
2020,6,153793448
2020,9,153793469
2020,7,153793620
2020,6,153793620
2020,6,153793619
2020,7,153793619
2020,7,153793621
2020,6,153793621
2020,7,153793629
2020,8,153793978
2020,6,153794140
2020,6,153789963
2020,6,153789961
2020,9,154104665
2020,9,154104690
2020,6,154104969
2020,6,154109132
2020,9,154105191
2020,9,154105223
2020,9,154109555
2020,6,154105402
2020,9,154105625
2020,9,154109801
2020,9,154105686
2020,9,154109941
2020,9,154105933
2020,6,154105979
2020,9,154105991
2020,9,155656415
2020,9,155656429
2020,6,154105648
2020,9,154105682
2020,9,154109811
2020,9,154105798
2020,9,154109964
2020,6,154105842
2020,9,154105935
2020,9,154110061
2020,6,154732682
2020,6,154732632
2020,6,154737436
2020,6,154737544
2020,9,154732877
2020,9,154732928
2020,3,154733164
2020,9,154733343
2020,9,154738267
2020,9,154738380
2020,9,154738480
2020,6,154734076
2020,6,154734077
2020,9,154734080
2020,6,154734136
2020,9,154734141
2020,9,154734149
2020,3,153788299
2020,9,153793379
2020,6,153789206
2020,9,153789259
2020,4,153794001
2020,9,153794060
2020,6,153789678
2020,6,153794121
2020,3,153794123
2020,9,153789924
2020,9,153793364
2020,2,153793386
2020,9,153788514
2020,9,153793452
2020,9,153793589
2020,9,153789069
2020,9,153793800
2020,9,153793808
2020,9,153793931
2020,6,153789630
2020,3,153789631
2020,9,154104516
2020,6,154104522
2020,6,154108776
2020,8,154104567
2020,6,154104567
2020,6,154104574
2020,9,154104579
2020,9,154104585
2020,6,154108833
2020,9,154104602
2020,6,154104620
2020,9,154104629
2020,9,154108908
2020,9,154104699
2020,9,154104707
2020,2,154104750
2020,7,154104825
2020,9,154104889
2020,9,154109214
2020,9,154109327
2020,6,154105186
2020,9,154109386
2020,9,154105231
2020,9,154109408
2020,9,154109472
2020,9,154109473
2020,6,154109517
2020,6,154109518
2020,9,154109690
2020,9,154105589
2020,8,154106003
2020,9,154110088
2020,5,153788489
2020,9,153793425
2020,6,153789588
2020,6,153794050
2020,6,153789839
2020,9,153794268
2020,9,153794270
2020,9,153793369
2020,9,153793411
2020,6,153793413
2020,3,153793462
2020,1,153793958
2020,6,153794098
2020,6,153794099
2020,6,153794141
2020,9,153794139
2020,9,153794284
2020,6,153790338
2020,9,153512283
2020,6,153512487
2020,9,153508340
2020,6,153512858
2020,6,153512856
2020,6,153512875
2020,9,153512932
2020,6,153512955
2020,6,153512954
2020,6,153508746
2020,3,153508811
2020,9,153513080
2020,6,153508840
2020,9,153509322
2020,9,153513855
2020,6,153509622
2020,6,153509724
2020,7,153509949
2020,6,153514754
2020,9,155169138
2020,6,155169179
2020,9,155169276
2020,9,155173155
2020,9,155169499
2020,6,155173392
2020,6,155173390
2020,6,155169532
2020,6,155169535
2020,3,155169535
2020,7,155169534
2020,6,155169534
2020,3,155169726
2020,6,155172940
2020,9,155169210
2020,7,155169227
2020,6,155169292
2020,6,155173104
2020,3,155173115
2020,3,155169306
2020,3,155169320
2020,6,155169322
2020,9,155173348
2020,9,155173351
2020,6,155173354
2020,6,155173394
2020,6,155173393
2020,8,155169540
2020,6,155169540
2020,6,155169541
2020,8,155169541
2020,3,155169674
2020,6,155169674
2020,3,155169675
2020,6,155169675
2020,9,155169780
2020,9,155169782
2020,9,155169797
2020,6,155169877
2020,6,153512775
2020,6,153512774
2020,6,153512817
2020,6,153508605
2020,6,153512850
2020,6,153512848
2020,6,153512849
2020,3,153508709
2020,6,153508709
2020,3,153508710
2020,6,153508710
2020,6,153508719
2020,6,153512991
2020,7,153512991
2020,3,153508765
2020,9,153513019
2020,9,153513248
2020,9,153513260
2020,9,153508962
2020,9,153513279
2020,9,153513813
2020,7,153514349
2020,6,153509827
2020,9,153514632
2020,6,153509894
2020,6,153514688
2020,6,153514692
2020,6,153514690
2020,9,153509939
2020,3,153509940
2020,6,153509940
2020,3,153512663
2020,6,153512663
2020,3,153508467
2020,6,153508467
2020,9,153512693
2020,9,153508522
2020,6,153508523
2020,9,153508537
2020,3,154109701
2020,6,154105587
2020,9,154109730
2020,6,154105695
2020,6,154396428
2020,6,154396429
2020,9,154105711
2020,6,154109984
2020,9,154110033
2020,8,154106012
2020,6,154110148
2020,6,160645428
2020,6,160645457
2020,6,160647307
2020,6,160645568
2020,6,160645569
2020,3,160645569
2020,9,160645605
2020,9,160651195
2020,6,160648218
2020,9,155173033
2020,8,155169291
2020,6,155173108
2020,5,155169305
2020,9,155173139
2020,9,155173265
2020,9,155173275
2020,3,155173444
2020,6,155173444
2020,6,155173443
2020,9,155173737
2020,6,154109899
2020,9,154105846
2020,9,154105994
2020,9,154106005
2020,9,155656426
2020,9,155661413
2020,9,154396475
2020,3,154737966
2020,6,154733486
2020,9,154733585
2020,9,154733663
2020,9,154733815
2020,1,154733818
2020,6,154733889
2020,9,154733980
2020,9,154734081
2020,9,154734091
2020,9,154734100
2020,6,154738688
2020,9,154734200
2020,9,155169326
2020,9,155173268
2020,3,155169537
2020,1,155169537
2020,6,155169537
2020,1,155169538
2020,3,155169538
2020,6,155169538
2020,6,155169770
2020,9,155174010
2020,9,155174160
2020,6,155661374
2020,9,157896930
2020,9,157896934
2020,6,157894505
2020,9,157894502
2020,6,157894504
2020,6,157894514
2020,2,157894514
2020,6,157896966
2020,9,157896988
2020,8,157894618
2020,6,157894618
2020,9,157897009
2020,9,157897037
2020,10,157894683
2020,9,157894687
2020,9,157894686
2020,9,157894704
2020,9,157894711
2020,9,157894710
2020,9,157897056
2020,9,157894732
2020,6,157894734
2020,9,157897060
2020,9,157894740
2020,9,157894738
2020,6,157894739
2020,9,157894757
2020,9,157894759
2020,6,157894767
2020,6,155661403
2020,6,155661402
2020,9,155173137
2020,9,155169492
2020,6,155169558
2020,6,155169559
2020,9,155169582
2020,6,155173478
2020,6,155169667
2020,6,155169666
2020,9,155169783
2020,10,155173746
2020,6,153788408
2020,6,153508366
2020,6,153512640
2020,6,153508436
2020,9,153508377
2020,9,153512624
2020,6,153508550
2020,6,153512846
2020,3,153512854
2020,9,153508660
2020,6,153512885
2020,6,153508676
2020,6,153508675
2020,6,153512898
2020,6,153512978
2020,6,153512977
2020,9,153512975
2020,3,153508751
2020,6,153508750
2020,9,153508758
2020,6,153508759
2020,6,153513044
2020,9,153508841
2020,6,153513086
2020,1,153513231
2020,6,153513239
2020,9,153513273
2020,9,161892931
2020,4,161892935
2020,9,161892941
2020,9,161888178
2020,9,161893016
2020,9,161893015
2020,9,161893117
2020,9,161888260
2020,9,161888270
2020,9,161893160
2020,9,161893234
2020,6,161888340
2020,6,161888339
2020,7,161893476
2020,8,161888536
2020,9,161893735
2020,9,161892916
2020,9,161893000
2020,9,161893074
2020,6,161888223
2020,9,161888257
2020,9,161888277
2020,9,161893176
2020,9,161893192
2020,9,161888288
2020,9,161893210
2020,6,153513351
2020,3,153513364
2020,6,153513364
2020,9,153509137
2020,6,153513742
2020,9,153513950
2020,6,153514276
2020,9,153514288
2020,9,153509686
2020,6,153514439
2020,9,153509897
2020,6,153509903
2020,6,153514683
2020,6,153514748
2020,3,153514748
2020,6,153514746
2020,8,148229046
2020,9,148217487
2020,8,148217540
2020,9,148217552
2020,8,148217688
2020,9,148217707
2020,6,148229925
2020,7,148229925
2020,3,148229926
2020,6,148229926
2020,7,148229926
2020,9,148217736
2020,6,148217738
2020,3,148217815
2020,6,148217818
2020,6,148217826
2020,6,148217827
2020,9,148217842
