"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2020,146509551,151538720,18,48245347
2020,146509565,151538751,18,48245384
2020,146507378,151538751,18,48245379
2020,146507400,151541147,18,48240948
2020,144318957,149147711,18,47200206
2020,144315747,149147768,18,47211294
2020,144319047,149144770,18,47200291
2020,144315803,149144804,18,47211347
2020,144319104,149144821,18,47211356
2020,144319113,149144831,18,47211358
2020,144315822,149144837,18,47211365
2020,144315884,149147889,18,47211429
2020,144319200,149144918,24,47200420
2020,144319200,149147910,24,47200421
2020,144315907,149147915,18,47211447
2020,144319228,149144952,18,47200447
2020,144319283,149147984,1,47200489
2020,144319292,149150023,1,47200496
2020,144319321,149150052,27,47200521
2020,144319349,149148043,18,47200550
2020,144319358,149148054,18,47200559
2020,144319367,149150099,18,47200567
2020,144319405,149148089,18,47200612
2020,144319424,149148107,3,47211623
2020,144319453,149148129,18,47200649
2020,144319478,149150184,3,47200666
2020,144319575,149150289,3,47200750
2020,144319740,149150430,24,47200904
2020,144319760,149150448,18,47200917
2020,144316440,149148476,18,47200943
2020,144319792,149150489,18,47200946
2020,144319818,149148496,18,47211957
2020,144316469,149148505,18,47200974
2020,144319905,149150602,18,47201055
2020,144319955,149150656,18,47201107
2020,144320070,149148691,18,47201206
2020,144320105,149150784,18,47201236
2020,144320104,149150784,18,47201235
2020,144320103,149150784,18,47201234
2020,144320142,149148744,18,47201290
2020,144320143,149148745,18,47201293
2020,144320142,149148745,18,47201291
2020,144316683,149148745,18,47212225
2020,144316683,149148744,18,47201292
2020,144320143,149148744,18,47212226
2020,144320170,149150845,18,47201316
2020,144320171,149150844,24,47201321
2020,144320171,149150845,18,47201319
2020,144320170,149150846,18,47201317
2020,144320171,149150846,18,47201320
2020,144320170,149150844,24,47201318
2020,144320181,149148764,18,47201331
2020,144320214,149150892,18,47216367
2020,144320216,149150894,18,47212281
2020,144316761,149148801,18,47216377
2020,144316761,149150910,18,47212295
2020,144316761,149148800,18,47212294
2020,144320245,149150929,18,47216398
2020,144316798,149150981,18,47216440
2020,144320308,149150989,18,47216447
2020,144316816,149151004,18,47216459
2020,144316822,149151013,24,47212339
2020,144316822,149148891,24,47212338
2020,144320332,149148894,18,47216473
2020,144316830,149148906,3,47212352
2020,144320592,149151266,18,47216733
2020,144317023,149149099,24,47212533
2020,144317045,149149121,18,47216760
2020,144317051,149149128,18,47212556
2020,144320660,149151343,18,47216784
2020,144317122,149151428,18,47216832
2020,144320757,149151454,18,47216857
2020,144317156,149151480,18,47212635
2020,144320774,149151480,18,47216881
2020,144317170,149149248,18,47216904
2020,144317260,149149337,18,47217030
2020,144320983,149151673,18,47217070
2020,144317313,149151708,24,47212783
2020,144317346,149149413,18,47212821
2020,144321064,149149413,18,47217136
2020,144321084,149149440,18,47217170
2020,144318986,149147745,18,47200244
2020,144318996,149144723,18,47200253
2020,144319017,149144734,18,47211291
2020,144319019,149144739,18,47200267
2020,144319035,149144758,18,47200280
2020,144315858,149147861,18,47200377
2020,144319174,149147877,18,47200394
2020,144319176,149144898,18,47211422
2020,144315887,149144906,18,47211432
