"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2020,140646225,154733570
2020,140646234,154733583
2020,140640836,154733595
2020,140646254,154738177
2020,140646290,154733647
2020,140640921,154738251
2020,140640954,154738282
2020,140646363,154738283
2020,140646412,154738338
2020,140646422,154738349
2020,140641024,154738356
2020,140641025,154738355
2020,140646440,154733784
2020,140646468,154733822
2020,140641106,154733854
2020,140646479,154733865
2020,140646488,154733870
2020,140646506,154738431
2020,140646548,154733930
2020,140646550,154733928
2020,140646564,154733939
2020,140641271,154734024
2020,140641271,154738550
2020,140646654,154734025
2020,140641274,154734025
2020,140641283,154738562
2020,140646670,154734044
2020,140646678,154738578
2020,140646744,154738639
2020,140641420,154738654
2020,140641420,154738656
2020,140646792,154738682
2020,140641461,154738693
2020,140641483,154734193
2020,140646825,154734193
2020,140641484,154734193
2020,139704966,153789622
2020,139704996,153789655
2020,139705009,153789669
2020,139705064,153789721
2020,139705064,153789720
2020,139705088,153789758
2020,139705088,153789756
2020,139705105,153794106
2020,139705123,153789793
2020,139705128,153789800
2020,139705128,153789801
2020,139705170,153789840
2020,139705195,153789867
2020,139705205,153789874
2020,139705247,153789912
2020,139705247,153789911
2020,139700891,153789973
2020,139705324,153789991
2020,139705335,153789998
2020,139705375,153790037
2020,139705393,153794235
2020,139705392,153794235
2020,139701004,153794316
2020,139701011,153790200
2020,139705582,153794365
2020,139705582,153794366
2020,139705642,153790355
2020,146653770,160791719
2020,146663483,160788625
2020,139704533,153789167
2020,139700554,153793831
2020,139700554,153789180
2020,140011219,154104507
2020,140015895,154104508
2020,140011218,154104507
2020,140015907,154108773
2020,140015947,154104537
2020,140011246,154108792
2020,140011247,154104544
2020,140011251,154108798
2020,140011257,154108809
2020,140011270,154108815
2020,140015985,154108815
2020,140011273,154108818
2020,140011272,154108817
2020,140011272,154104577
2020,140011275,154108821
2020,140011280,154108827
2020,140011324,154104640
2020,140011346,154108883
2020,140011355,154104667
2020,140016076,154104673
2020,140011372,154104681
2020,140011379,154108906
2020,140011383,154108907
2020,140011382,154104696
2020,140011387,154108914
2020,140011429,154108964
2020,140011434,154108969
2020,140011439,154104760
2020,140011459,154104789
2020,140016193,154108987
2020,140011467,154108988
2020,140011470,154108991
2020,140011480,154109002
2020,140011480,154109001
2020,140016203,154104808
2020,140011485,154104808
2020,140016202,154104808
2020,140011492,154109011
2020,140016214,154109016
2020,140016213,154109016
2020,140011501,154109022
2020,140016255,154104848
2020,140016256,154104851
2020,140016266,154104862
2020,140016267,154109054
2020,140011536,154109055
2020,140011542,154109062
2020,140011558,154104887
2020,140016295,154109085
2020,140016312,154109098
2020,140016323,154104920
2020,140011599,154104940
2020,140016348,154109117
2020,140011613,154109122
2020,140016355,154104958
2020,140016369,154104975
2020,140016378,154104985
2020,140016383,154104992
2020,140016383,154104994
2020,140016383,154104993
2020,140016393,154105001
2020,140011647,154105005
2020,140016408,154109163
2020,140016425,154105034
2020,140011683,154109187
2020,140016442,154109196
2020,140016447,154105057
2020,140016454,154109211
2020,140016454,154109209
2020,140011713,154105070
2020,140011716,154109215
2020,140011718,154105075
2020,140016466,154105081
2020,140011724,154109225
2020,140016474,154105090
2020,140016494,154109250
2020,140016494,154109249
2020,140011760,154109262
2020,140011762,154109264
2020,140016515,154105117
2020,140016515,154105118
2020,140011767,154109271
2020,140011771,154109274
2020,140011769,154109272
2020,140011782,154105137
2020,140011787,154105141
2020,140011788,154105145
2020,140011793,154109291
2020,140016543,154109290
2020,140011826,154109328
2020,140011851,154109348
2020,140016608,154109356
2020,140016606,154109356
2020,140016612,154109364
2020,140011876,154109370
2020,140016633,154105222
2020,140011890,154109384
2020,140011901,154105232
2020,140016644,154105234
2020,140011911,154109400
2020,140016648,154105246
2020,140011915,154109402
2020,140011915,154109403
2020,140016658,154105250
2020,140011919,154105254
2020,140016663,154109415
2020,140011925,154105264
2020,140016674,154105264
2020,140016683,154105266
2020,140011934,154109433
2020,140011937,154105278
2020,140011941,154109438
2020,140016702,154105285
2020,140011943,154105285
2020,140011952,154109452
2020,140011954,154109454
2020,140011967,154105317
2020,140016739,154109466
2020,140011976,154105323
2020,140011975,154105323
2020,140011981,154109474
2020,140011990,154105335
2020,140011994,154105338
2020,140016753,154109488
2020,140011999,154105343
2020,140012001,154105349
2020,140016764,154105348
2020,140016767,154105352
2020,140016771,154105354
2020,140012014,154109510
2020,140012015,154105361
2020,140012017,154105364
2020,140016795,154105376
2020,140012033,154109526
2020,140012034,154105379
2020,140012062,154105397
2020,140012072,154105408
2020,140012077,154109576
2020,140016845,154109580
2020,140011242,154104539
2020,140011243,154108789
2020,140015950,154108789
2020,140016275,154104877
2020,140016276,154104878
2020,140011556,154109074
2020,140016294,154109084
2020,140016304,154109092
2020,140011588,154109103
2020,140011592,154104922
2020,140011598,154104941
2020,140016347,154104945
2020,140011624,154104967
2020,140011657,154105014
2020,140016411,154109164
2020,140016427,154105036
2020,140016443,154105056
2020,140011705,154105064
2020,140011732,154105088
2020,140011741,154109236
2020,140016488,154105101
2020,140016500,154105107
2020,140011763,154105113
2020,140011773,154105127
2020,140011772,154105129
2020,140011772,154109276
2020,140011784,154109285
2020,140011783,154109285
2020,140011792,154109289
2020,140011790,154109289
2020,140011867,154109360
2020,140011883,154109377
2020,140011991,154109481
2020,140011991,154109483
2020,140016793,154109524
2020,140012047,154105385
2020,140012057,154105388
2020,140012056,154105388
2020,140012068,154109563
2020,140012074,154109569
2020,140016847,154109582
2020,140016854,154105427
2020,140016868,154109596
2020,140012110,154105448
2020,140016872,154105448
2020,140012109,154105448
2020,140012118,154105460
2020,140012146,154109627
2020,140012162,154109638
2020,140016949,154109657
2020,140016978,154109687
2020,140016997,154105582
2020,140016997,154105585
2020,140012231,154109714
2020,140012236,154105599
2020,140012238,154109728
2020,140017025,154105607
2020,140017063,154109769
2020,140012330,154109810
2020,140017102,154109809
2020,140017320,154110004
2020,140012571,154110016
2020,140012580,154110023
2020,140012591,154105944
2020,140017360,154105944
2020,140012601,154105959
2020,140012613,154105970
2020,140012615,154110051
2020,140012676,154110104
2020,140017415,154110104
2020,140012678,154110104
2020,140012690,154110118
2020,140017427,154106019
2020,140012703,154106023
2020,138915381,153011216
2020,140012087,154109586
2020,140012085,154109584
2020,140012085,154105421
2020,140016863,154105435
2020,140012114,154105455
2020,140012116,154109605
2020,140016884,154109607
2020,140016884,154109608
2020,140012119,154105463
2020,140012121,154109610
2020,140016905,154105483
2020,140016908,154105485
2020,140012139,154105493
2020,140012159,154105509
2020,140012160,154105510
2020,140016933,154105521
2020,140012183,154109660
2020,140012194,154109671
2020,140012196,154109673
2020,140012201,154109675
2020,140012202,154109677
2020,140016971,154109680
2020,140012207,154109683
2020,140012212,154109689
2020,140016985,154105575
2020,140016985,154105576
2020,140012217,154109697
2020,140017001,154109705
2020,140012226,154109707
2020,140017003,154105591
2020,140017002,154105592
2020,140017012,154109716
2020,140017016,154109721
2020,140017015,154109723
2020,140017020,154109729
2020,140017026,154105608
2020,140012255,154105618
2020,140012255,154109743
2020,140017056,154109760
2020,140012308,154109788
2020,140012308,154105664
2020,140012312,154109792
2020,140017086,154105673
2020,140017093,154109799
2020,140017097,154105678
2020,140017099,154109803
2020,140012332,154105687
2020,140012344,154109821
2020,140017129,154105714
2020,140017175,154109884
2020,140012423,154109890
2020,140012430,154109893
2020,140017192,154105782
2020,140012435,154105784
2020,140017199,154105793
2020,140012461,154109920
2020,140012458,154109916
2020,140017214,154109916
2020,140017220,154109923
2020,140017218,154109924
2020,140012466,154105808
2020,140017228,154109934
2020,140017242,154109957
2020,140012502,154105835
2020,140017256,154109972
2020,140012509,154105845
2020,140012511,154109976
2020,140017272,154109981
2020,140017271,154109981
2020,140017290,154105882
2020,140012530,154109989
2020,140012532,154109989
2020,140017306,154105898
2020,140012542,154105904
2020,140017318,154105909
2020,140012561,154105922
2020,140012566,154110013
2020,140012569,154110012
2020,140012573,154110015
2020,140017343,154105934
2020,140017350,154110029
2020,140012599,154110038
2020,140012607,154105964
2020,140012606,154105963
2020,140017381,154110049
2020,140017388,154110053
2020,140012636,154110066
2020,140012654,154110085
2020,140012663,154110095
2020,140012680,154106010
2020,140017418,154110113
2020,140012696,154110126
2020,140012699,154110128
2020,140012698,154106016
2020,140012709,154106028
2020,140012714,154110142
2020,140017446,154110150
2020,146106217,160254491
2020,146106239,160254514
2020,146106247,160254520
2020,146106267,160260193
2020,146106259,160260191
2020,146106259,160254533
2020,146106286,160260197
2020,146106292,160260197
2020,146106277,160260197
2020,146110694,160260197
2020,146106287,160260197
2020,146110703,160254589
2020,141065561,155173076
2020,141065561,155169275
2020,141065732,155173240
2020,141065739,155173251
2020,141065745,155173256
2020,141065753,155173267
2020,141065769,155173282
2020,141065780,155169442
2020,141059302,155173318
2020,141065844,155169483
2020,141065843,155169483
2020,141065848,155173358
2020,141065871,155173377
2020,141059363,155173380
2020,141065878,155173379
2020,141065878,155173380
2020,141059363,155173379
2020,141065883,155173387
2020,141065900,155169542
2020,141065900,155169544
2020,141059383,155173407
2020,141059383,155173406
2020,141059383,155169550
2020,141065947,155169575
2020,141065960,155173463
2020,141065968,155173472
2020,141065968,155173474
2020,141065968,155173473
2020,141066007,155173517
2020,141059501,155173594
2020,141066112,155169721
2020,141066236,155173754
2020,141066234,155173754
2020,141066314,155173822
2020,141066314,155173824
2020,141066340,155169910
2020,141066376,155169935
2020,141066381,155173898
2020,141066382,155169940
2020,141066422,155173962
2020,141066422,155173960
2020,141066458,155173999
2020,141059833,155170037
2020,141066473,155174017
2020,141066473,155174016
2020,141066478,155174030
2020,141066484,155174034
2020,141066493,155174044
2020,141066492,155174046
2020,141066506,155170062
2020,141066635,155174210
2020,141066637,155174211
2020,141066647,155174221
2020,141066647,155174222
2020,141066662,155170177
2020,149393166,163647467
2020,149389323,163647485
2020,149389323,163647483
2020,149389320,163651313
2020,149393177,163651317
2020,149393178,163651318
2020,149389356,163647512
2020,149393231,163651361
2020,149389370,163651370
2020,149389371,163651370
2020,149389369,163651370
2020,149389378,163647528
2020,149393302,163651437
2020,149393314,163651451
2020,149389445,163647592
2020,149389465,163647610
2020,149393366,163651503
2020,149393372,163651507
2020,149389545,163651576
2020,149389559,163647708
2020,149389566,163647714
2020,149389620,163647767
2020,149389692,163647844
2020,149393661,163651749
2020,141058960,155172924
2020,141065418,155172945
2020,141058984,155172958
2020,141065433,155172968
2020,141065434,155169158
2020,141065441,155169165
2020,141065449,155169177
2020,141065454,155169181
2020,141059039,155169201
2020,141065476,155173008
2020,141059077,155169239
2020,141059109,155173068
2020,141059107,155173068
2020,141059108,155173068
2020,141059119,155173078
2020,141059119,155173079
2020,141065639,155169337
2020,141065642,155173166
2020,141065669,155169358
2020,141065677,155169361
2020,141065710,155173219
2020,141059239,155169395
2020,141059239,155169397
2020,141059239,155169396
2020,141065737,155173247
2020,141059262,155173248
2020,141065750,155173264
2020,141065756,155173271
2020,141065763,155169433
2020,141065767,155173279
2020,141059287,155169439
2020,141059287,155173294
2020,141059287,155173291
2020,141065793,155173310
2020,141065805,155173322
2020,141065817,155173330
2020,141065817,155169456
2020,141065818,155173331
2020,141065832,155173347
2020,141065842,155169484
2020,141065855,155173367
2020,141065858,155173368
2020,141065868,155173374
2020,141065869,155173374
2020,141059364,155169521
2020,141059369,155173396
2020,141059370,155173396
2020,141059371,155173396
2020,141059376,155173402
2020,141059384,155173416
2020,141059386,155169556
2020,141059386,155169555
2020,141065923,155173431
2020,141065934,155173439
2020,141065959,155173462
2020,141065961,155169586
2020,141065961,155173464
2020,141059430,155173497
2020,141066001,155173508
2020,141066001,155173507
2020,141066026,155173533
2020,141059465,155169636
2020,141066041,155169646
2020,141066041,155169645
2020,141066053,155169658
2020,141066081,155169685
2020,141066081,155169688
2020,141066103,155173630
2020,141066103,155173628
2020,141066118,155169724
2020,141066127,155169735
2020,141066131,155173659
2020,141059563,155169765
2020,141059563,155169764
2020,142703060,156829918
2020,142702284,156829940
2020,142703101,156829961
2020,142702297,156833214
2020,142703186,156830045
2020,142702331,156833243
2020,142703257,156833249
2020,142703283,156830142
2020,142702339,156830142
2020,142703313,156830174
2020,142703336,156830195
2020,142703342,156830199
2020,142703384,156830237
2020,142703394,156830246
2020,142703394,156833290
2020,142703414,156830264
2020,142703464,156830314
2020,142703620,156830434
2020,142703623,156830438
2020,142703628,156830437
2020,142703825,156830618
2020,142702480,156830618
2020,142702495,156830641
2020,142703867,156830641
2020,142703868,156830641
2020,142703864,156830641
2020,142703871,156830641
2020,142704005,156830761
2020,142704034,156830790
2020,141066152,155169767
2020,141066154,155173686
2020,141066162,155173693
2020,141066179,155173705
2020,141066171,155173698
2020,141066197,155173721
2020,141066204,155173727
2020,141066220,155169811
2020,141066221,155173740
2020,141066235,155173755
2020,141066243,155169821
2020,141066261,155173773
2020,141066268,155173784
2020,141066271,155173786
2020,141066281,155173793
2020,141066290,155173799
2020,141066304,155169871
2020,141066307,155169875
2020,141066311,155173816
2020,141066313,155173818
2020,141066315,155173823
2020,141059721,155173872
2020,141066367,155173883
2020,141066386,155173902
2020,141066386,155173901
2020,141059775,155173954
2020,141059772,155173954
2020,141059778,155169972
2020,141059782,155169977
2020,141066442,155169995
2020,141066442,155169993
2020,141066447,155173987
2020,141066454,155170007
2020,141059821,155174003
2020,141066465,155174009
2020,141066465,155174011
2020,141066485,155174036
2020,141066485,155174035
2020,141066490,155174045
2020,141059849,155170051
2020,141066518,155174075
2020,141066524,155174083
2020,141066535,155174097
2020,141066539,155174103
2020,141066559,155174124
2020,141066559,155174125
2020,141066560,155174126
2020,141066571,155174140
2020,141066572,155174142
2020,141066582,155174153
2020,141066603,155174177
2020,141066613,155170143
2020,141066634,155174208
2020,141066634,155174207
2020,141066636,155174207
2020,141059951,155170156
2020,141066640,155174215
2020,141066640,155174216
2020,141066675,155174242
2020,141066676,155174245
2020,141066679,155170197
2020,141066679,155170196
2020,141065402,155169121
2020,141065407,155172935
2020,141065447,155169173
2020,141065500,155169219
2020,141059057,155169219
2020,141065497,155169219
2020,141065504,155169222
2020,141065506,155169222
2020,141065513,155169229
2020,141059130,155173097
2020,141065580,155169289
2020,141065582,155169289
2020,141065581,155169289
2020,141065594,155173113
2020,141065605,155169308
2020,141059159,155169315
2020,141059159,155169314
2020,141059180,155173146
2020,141065640,155169339
2020,141065647,155173167
2020,141065665,155169354
2020,141059207,155173189
2020,141059253,155169410
2020,141065747,155169421
2020,141059297,155173314
2020,141065841,155173352
2020,141059344,155169498
2020,141059390,155173424
2020,141059390,155173425
2020,141065956,155173459
2020,141065975,155173479
2020,141065989,155173496
2020,141065989,155173495
2020,141065990,155173496
2020,141065998,155173510
2020,141065998,155173509
2020,141066006,155169614
2020,141066010,155169618
2020,141066017,155173523
2020,141066017,155173524
2020,141059444,155169625
2020,141066024,155173534
2020,141066027,155169631
2020,141066108,155173637
2020,141059529,155173639
2020,141066173,155173703
2020,141066202,155173723
2020,141066213,155173735
2020,141059622,155173748
2020,141059622,155169817
2020,141059636,155173763
2020,141066259,155169827
2020,141066265,155173779
2020,141066277,155169843
2020,141066277,155169842
2020,141059660,155169842
2020,141059660,155169843
2020,141059700,155169902
2020,141059700,155169903
2020,141066342,155173856
2020,141066342,155173855
2020,141066363,155173879
2020,141066385,155173900
2020,141066388,155173903
2020,141066388,155173905
2020,141066401,155173924
2020,141066426,155173964
2020,141066425,155173964
2020,141066425,155173965
2020,141066436,155173976
2020,141059796,155169994
2020,141066448,155173988
2020,141066449,155170002
2020,141066522,155170076
2020,141066534,155174096
2020,141059892,155174099
2020,141059892,155174100
2020,141066555,155170111
2020,141059908,155174128
2020,141059908,155174127
2020,141066584,155174156
2020,141066620,155174192
2020,141066674,155170184
2020,141066672,155170183
2020,141066673,155170182
2020,141066673,155170181
2020,137140430,151217453
2020,137140429,151217454
2020,146663436,160791667
2020,146653731,160788586
2020,146653735,160788595
2020,141065400,155169119
2020,141058967,155169126
2020,141065409,155169128
2020,141065414,155172941
2020,141065414,155169132
2020,141065420,155169137
2020,141065420,155169136
