"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,39643704,1,39942020
2020,39027963,1,39248750
2020,39027971,1,39248758
2020,39027973,1,39248760
2020,39027978,1,39248765
2020,39027979,1,39248766
2020,39027985,1,39248772
2020,39027984,1,39248771
2020,39027988,1,39248775
2020,39027998,1,39248785
2020,39028005,1,39248792
2020,39028004,1,39248791
2020,39028010,1,39248797
2020,39028009,1,39248796
2020,39028012,1,39248799
2020,39028014,1,39248801
2020,39028053,1,39248840
2020,39647821,1,39938269
2020,39643779,1,39942095
2020,39643780,1,39942096
2020,39643781,1,39942097
2020,39643782,1,39942098
2020,39643784,1,39942100
2020,38727708,1,38818192
2020,38727709,1,38818193
2020,39641548,1,39931703
2020,40431486,1,40749146
2020,40431487,1,40749147
2020,40240776,1,40551191
2020,40240775,1,40551190
2020,40240777,1,40551192
2020,40240782,1,40551197
2020,40240785,1,40551200
2020,40240820,1,40551235
2020,40240835,1,40551250
2020,40431488,1,40749148
2020,40431491,1,40749151
2020,40431492,1,40749152
2020,40431489,1,40749149
2020,40431490,1,40749150
2020,40431504,1,40749164
2020,40431506,1,40749166
2020,40431505,1,40749165
2020,40431523,1,40749183
2020,40431513,1,40749173
2020,40241000,1,40551415
2020,40241164,1,40551579
2020,40241167,1,40551582
2020,40241168,1,40551583
2020,40241173,1,40551588
2020,40241176,1,40551591
2020,40241181,1,40551596
2020,40241186,1,40551601
2020,40241190,1,40551605
2020,40241191,1,40551606
2020,40241195,1,40551610
2020,40241194,1,40551609
2020,40241200,1,40551615
2020,40241202,1,40551617
2020,40241322,1,40551737
2020,40241329,1,40551744
2020,40241343,1,40551758
2020,40241481,1,40551896
2020,40431522,1,40749182
2020,40241501,1,40551916
2020,40431524,1,40749184
2020,40241505,1,40551920
2020,40241504,1,40551919
2020,40431526,1,40749186
2020,40431528,1,40749188
2020,40431530,1,40749190
2020,40431533,1,40749193
2020,40431536,1,40749196
2020,40431538,1,40749198
2020,40431539,1,40749199
2020,40431537,1,40749197
2020,40431540,1,40749200
2020,40431551,1,40749211
2020,40431553,7,40749213
2020,40431557,1,40749217
2020,40431580,1,40749240
2020,40431581,1,40749241
2020,40431582,1,40749242
2020,40431583,1,40749243
2020,40431585,1,40749245
2020,40431588,1,40749248
2020,40431589,1,40749249
2020,40431590,7,40749250
2020,40431591,1,40749251
2020,40431592,1,40749252
2020,40431593,1,40749253
2020,40431596,1,40749256
2020,40431598,1,40749258
2020,40431601,1,40749261
2020,40431603,1,40749263
2020,40431604,1,40749264
2020,40431608,1,40749268
2020,40431609,1,40749269
2020,40431610,1,40749270
2020,40431611,1,40749271
2020,40431616,1,40749276
2020,40431619,1,40749279
2020,40431621,1,40749281
2020,40431623,2,40749283
2020,40431625,1,40749285
2020,40431627,1,40749287
2020,40431629,1,40749289
2020,40431631,1,40749291
2020,40431638,1,40749298
2020,40431641,1,40749301
2020,40431642,1,40749302
2020,40431645,1,40749305
2020,39643509,1,39941825
2020,39643949,1,39942265
2020,39643950,1,39942266
2020,39643952,1,39942268
2020,39643955,1,39942271
2020,39644106,1,39942422
2020,39644119,1,39942435
2020,39644120,1,39942436
2020,39644191,3,39942507
2020,39644195,1,39942511
2020,39644201,1,39942517
2020,39644200,1,39942516
2020,39644204,1,39942520
2020,39644206,1,39942522
2020,39660149,7,39943466
2020,39660821,7,39944138
2020,39660823,1,39944140
2020,39660822,7,39944139
2020,39660824,3,39944141
2020,39660825,1,39944142
2020,39660826,1,39944143
2020,39660827,1,39944144
2020,40431652,1,40749312
2020,39660150,1,39943467
2020,39661009,1,39944326
2020,39661038,1,39944355
2020,39661039,1,39944356
2020,39661045,1,39944362
2020,39661052,1,39944369
2020,39661053,1,39944370
2020,39661363,1,39944681
2020,39661364,1,39944682
2020,39661540,1,39944858
2020,39661542,1,39944860
2020,39661543,1,39944861
2020,39661544,1,39944862
2020,39662092,1,39965410
2020,39644314,1,39942630
2020,39644315,3,39942631
2020,39644317,1,39942633
2020,39661324,7,39944641
2020,38727359,1,38817843
2020,41907470,1,42327978
2020,38756881,1,38912305
2020,39661757,1,39965075
2020,38756882,8,38912306
2020,38756888,1,38912312
2020,39643403,1,39941719
2020,39643405,1,39941721
2020,39643404,1,39941720
2020,39643406,1,39941722
2020,39661763,1,39965081
2020,39661765,1,39965083
2020,39661768,1,39965086
2020,39662121,1,39965439
2020,39662122,1,39965440
2020,41907491,1,42327999
2020,41907546,1,42328055
2020,41907579,1,42328088
2020,41907585,1,42328094
2020,41907588,1,42328097
2020,41907591,1,42328100
2020,41907596,1,42328105
2020,41907599,1,42328108
2020,41907602,1,42328111
2020,41907604,1,42328113
2020,39643006,1,39941322
2020,39643307,1,39941623
2020,39643308,1,39941624
2020,39643011,1,39941327
2020,39643012,1,39941328
2020,41307835,1,41695716
2020,41307836,1,41695717
2020,41307837,1,41695718
2020,39643016,1,39941332
2020,41307834,1,41695715
2020,39643769,1,39942085
2020,39643770,1,39942086
2020,41307850,1,41695731
2020,39643773,1,39942089
2020,41307852,1,41695733
2020,41307853,1,41695734
2020,39643895,1,39942211
2020,41307862,1,41695743
2020,39644194,1,39942510
2020,41307865,3,41695746
2020,41307877,1,41695758
2020,41307878,1,41695759
2020,39660528,1,39943845
2020,39660531,1,39943848
2020,41307879,1,41695760
2020,39661439,1,39944757
2020,39661440,1,39944758
2020,39661545,1,39944863
2020,41307882,1,41695763
2020,39661548,1,39944866
2020,39661549,1,39944867
2020,39661745,1,39965063
2020,39661747,1,39965065
2020,39661749,1,39965067
2020,39661752,1,39965070
2020,39661753,1,39965071
2020,39661754,1,39965072
2020,39661756,1,39965074
2020,39661769,1,39965087
2020,39661770,1,39965088
2020,39661771,1,39965089
2020,39661772,1,39965090
2020,39661773,1,39965091
2020,39661805,1,39965123
