"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2020,141652570,10,
2020,141652582,1,
2020,141113098,9,
2020,139889077,9,
2020,137178321,1,
2020,147268788,1,
2020,147270155,5,
2020,144443855,10,
2020,140903294,10,
2020,135214022,1,
2020,137354777,1,
2020,136523897,1,
2020,134412147,1,
2020,135328251,10,
2020,139124151,10,
2020,136973352,1,
2020,139887990,1,
2020,135142506,9,
2020,135537409,1,
2020,136799765,1,
2020,135319556,1,
2020,135320063,1,
2020,135418019,10,
2020,137162428,10,
2020,134406494,10,
2020,134408425,10,
2020,135556441,1,
2020,135094894,1,
2020,136985619,10,
2020,137358766,10,
2020,135312273,10,
2020,134408453,10,
2020,134408420,9,
2020,137565924,1,
2020,141234074,9,
2020,136213052,10,
2020,142751891,9,
2020,136319644,1,
2020,135136803,10,
2020,135500516,10,
2020,135539475,1,
2020,136971131,10,
2020,140702190,10,
2020,140685825,9,
2020,140702018,10,
2020,140142060,10,
2020,142892924,1,
2020,140878165,10,
2020,135137506,10,
2020,140778574,10,
2020,140779584,10,
2020,138809427,1,
2020,135539924,10,
2020,137569959,9,
2020,140781957,10,
2020,140782064,10,
2020,140839351,9,
2020,135549908,1,
2020,138270089,1,
2020,138270368,1,
2020,138766292,1,
2020,146744512,10,
2020,146745403,10,
2020,141652503,6,
2020,135420366,9,
2020,136973264,2,
2020,149282202,1,
2020,141240020,1,
2020,143612913,1,
2020,147424977,1,
2020,148895868,2,
2020,141774761,1,
2020,142355524,9,
2020,143568982,10,
2020,148284443,3,
2020,148284443,1,
2020,148834197,9,
2020,148993407,10,
2020,148993605,10,
2020,143614943,1,
2020,142725215,10,
2020,144308421,10,
2020,142744945,1,
2020,142001192,6,
2020,141998000,1,
2020,148682213,1,
2020,147844169,10,
2020,142046037,9,
2020,146727696,1,
2020,143567048,10,
2020,135054742,1,
2020,140833190,10,
2020,140735472,1,
2020,140804153,1,
2020,140735371,10,
2020,140735373,10,
2020,140833142,10,
2020,143630381,1,
2020,148284612,9,
2020,148284652,10,
2020,144432697,1,
2020,144751423,10,
2020,146751994,10,
2020,148682060,1,
2020,141958429,10,
2020,148290849,1,
2020,143740921,10,
2020,144996565,9,
2020,142203708,9,
2020,142356124,1,
2020,142724317,1,
2020,142724318,1,
2020,143570457,6,
2020,147538913,10,
2020,147843968,10,
2020,146766671,1,
2020,146765053,1,
2020,144667429,9,
2020,146861906,1,
2020,146966165,10,
2020,143018818,1,
2020,143568233,6,
2020,143569645,10,
