"DATA_YEAR","VICTIM_ID","INJURY_ID"
2020,143566775,4
2020,143628870,5
2020,143566834,4
2020,143566852,4
2020,143566856,4
2020,143566875,4
2020,143566886,5
2020,143566887,4
2020,143566890,5
2020,143566891,5
2020,143566894,4
2020,143566895,4
2020,143566900,4
2020,143566901,5
2020,143566906,4
2020,143566923,4
2020,143566945,5
2020,143566963,4
2020,143566970,5
2020,143566973,5
2020,143566979,5
2020,143566988,4
2020,143567039,4
2020,143567049,5
2020,143567048,5
2020,143567050,5
2020,143567055,4
2020,143567089,4
2020,143567193,4
2020,143567229,4
2020,143567287,4
2020,143567286,5
2020,143567341,2
2020,143567341,6
2020,143567347,4
2020,143567352,4
2020,143571895,4
2020,143572175,5
2020,143572173,4
2020,143572174,5
2020,143572283,4
2020,143572570,2
2020,143579832,5
2020,143579845,4
2020,143579836,5
2020,143579895,4
2020,143579896,4
2020,143579909,5
2020,143579911,4
2020,143580647,5
2020,143580756,4
2020,143581393,6
2020,143581398,5
2020,143581399,5
2020,143581402,5
2020,143581507,5
2020,143581513,5
2020,143581514,4
2020,143581516,5
2020,143581533,5
2020,143581534,5
2020,143581544,4
2020,143581613,5
2020,143581612,5
2020,143628873,5
2020,143581754,4
2020,143628891,5
2020,143581815,5
2020,143581942,4
2020,143581971,5
2020,143581972,5
2020,143742223,5
2020,143742255,5
2020,143742291,5
2020,143742292,4
2020,143748078,4
2020,143748077,4
2020,143748412,5
2020,143748449,5
2020,143748453,5
2020,143748459,4
2020,143748465,5
2020,143748483,5
2020,143748497,3
2020,143748498,3
2020,143748528,4
2020,143748559,4
2020,143748562,5
2020,143748565,5
2020,143748574,5
2020,143748578,5
2020,143748577,5
2020,143748655,5
2020,143748993,5
2020,142355803,4
2020,142355824,4
2020,142355835,5
2020,142355842,4
2020,142356033,4
2020,142356360,5
2020,142356404,4
2020,142357388,5
2020,142368127,4
2020,142368125,4
2020,142368126,5
2020,142760622,4
2020,142768393,4
2020,142768390,4
2020,142768402,4
2020,142768406,4
2020,142768533,5
2020,142768530,5
2020,142768532,5
2020,142768529,5
2020,142768527,5
2020,142768531,5
2020,142768528,5
2020,142768534,5
2020,142768537,4
2020,142768704,4
2020,144665414,6
2020,144665456,4
2020,144751099,4
2020,144752757,4
2020,144752442,4
2020,144752777,5
2020,144752789,5
2020,144752790,5
2020,144752868,4
2020,144763230,5
2020,143571824,5
2020,143571828,4
2020,143580099,4
2020,143580098,4
2020,143581210,5
2020,143581211,5
2020,144994975,6
2020,143614614,4
2020,144995016,5
2020,143614619,5
2020,144995036,4
2020,144995035,5
2020,144749378,5
2020,144749398,4
2020,144749382,4
2020,143606932,4
2020,143606933,4
2020,143606944,4
2020,143606953,5
2020,144441708,4
2020,144441709,4
2020,144442369,5
2020,144442423,5
2020,144442444,4
2020,144664206,5
2020,144664963,5
2020,144664964,5
2020,144665015,5
2020,144665016,5
2020,144666734,5
2020,144666733,5
2020,144666773,5
2020,144666808,4
2020,144666818,4
2020,144666831,4
2020,144666868,5
2020,144749435,5
2020,144749496,5
2020,144749501,4
2020,144750043,5
2020,144750044,5
2020,144750047,5
2020,143459519,1
2020,143579778,5
2020,143566936,4
2020,143566975,5
2020,143566981,4
2020,143566984,4
2020,143579607,4
2020,143579782,5
2020,143579784,4
2020,143579814,4
2020,143579820,5
2020,143632492,4
2020,143630383,5
2020,143630381,4
2020,143630380,5
2020,143632538,3
2020,143632568,5
2020,143632572,5
2020,143632582,5
2020,143632588,5
2020,143632603,4
2020,143632606,4
2020,143632621,5
2020,143632629,5
2020,143632628,5
2020,143632655,4
2020,144308065,4
2020,144308106,5
2020,144308107,5
2020,144308158,5
2020,144308240,5
2020,144308312,5
2020,144308313,5
2020,144308336,5
2020,144308382,5
2020,144308377,5
2020,144308379,5
2020,144308383,5
2020,144308385,5
2020,144308378,5
2020,144308380,5
2020,144308381,5
2020,144308384,5
2020,144308904,3
2020,144308459,5
2020,144308458,5
2020,144308900,4
2020,143566957,4
2020,143572216,4
2020,143572217,4
2020,143572218,4
2020,143572417,4
2020,143572418,4
2020,143572462,5
2020,142197450,5
2020,143607225,5
2020,143607235,4
2020,143607246,5
2020,144665863,5
2020,144665884,5
2020,144665885,4
2020,144389207,4
2020,144998104,5
2020,144998123,5
2020,144998153,4
2020,144998172,5
2020,144998527,5
2020,144998526,5
2020,144998582,5
2020,144420275,4
2020,144420464,4
2020,144420493,5
2020,144749494,4
2020,144749528,5
2020,144749533,5
2020,144440251,5
2020,144440391,5
2020,144441043,6
2020,144441043,4
2020,144441043,2
2020,144441046,3
2020,144441053,5
2020,144441070,6
2020,144441075,5
2020,144663992,4
2020,144663991,4
2020,144663999,4
2020,144664006,5
2020,144664007,5
2020,144664008,4
2020,144664005,5
2020,144664018,4
2020,144664020,5
2020,144664023,5
2020,144664026,1
2020,144664571,4
2020,144665118,4
2020,144665130,5
2020,144665136,3
2020,144665173,4
2020,144665189,2
2020,144666645,4
2020,144666634,5
2020,144666649,4
2020,144666647,4
2020,144238711,5
2020,144238719,5
2020,144238728,4
2020,144238729,4
2020,144238736,5
2020,144241717,4
2020,144241721,5
2020,144241729,5
2020,144241732,4
2020,144241751,5
2020,144241754,5
2020,144241786,4
2020,144241789,5
2020,144242866,4
2020,144242879,5
2020,144276349,8
2020,144276353,5
2020,144276368,5
2020,144276671,5
2020,144276542,4
2020,144276692,4
2020,144276713,4
2020,144276715,2
2020,144276340,5
2020,144276341,5
2020,144276380,5
2020,144276421,5
2020,144276438,5
2020,144276439,5
2020,144276445,5
2020,144276446,4
2020,144276458,5
2020,144276477,2
2020,144276493,5
2020,144276492,5
2020,144276497,5
2020,144276516,5
2020,144276535,5
