"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2020,6,154905154
2020,6,154905153
2020,6,154905158
2020,6,154905159
2020,6,154906044
2020,3,154905220
2020,3,154905221
2020,6,154905224
2020,6,154905225
2020,6,154905229
2020,6,154906043
2020,6,154906057
2020,6,154906056
2020,6,154906102
2020,6,154906101
2020,6,154906119
2020,6,154906118
2020,6,154906170
2020,6,154906171
2020,9,154906209
2020,3,154906235
2020,9,154908013
2020,9,154908037
2020,9,154908162
2020,6,154908166
2020,6,154908167
2020,9,154908186
2020,9,154908205
2020,9,154910711
2020,9,154910724
2020,6,154916960
2020,6,154916959
2020,3,154916969
2020,6,154918367
2020,6,154918413
2020,3,154918443
2020,6,154919148
2020,6,154919147
2020,6,154919212
2020,6,154919259
2020,6,154920418
2020,9,154920459
2020,9,154920462
2020,6,154920484
2020,6,154920488
2020,6,154920571
2020,9,154920599
2020,9,154920600
2020,6,154920604
2020,6,154920620
2020,9,154920644
2020,9,154920652
2020,6,154920698
2020,6,154927073
2020,6,154927082
2020,6,154927081
2020,6,154927101
2020,2,154937527
2020,9,154939379
2020,9,154939383
2020,6,154939389
2020,9,154939393
2020,9,154425995
2020,9,153783366
2020,9,154798149
2020,9,154798301
2020,9,155103462
2020,9,155111499
2020,9,155218782
2020,9,155218783
2020,9,155218790
2020,6,154325634
2020,6,154325633
2020,6,154325659
2020,9,154325667
2020,9,154325671
2020,6,154325683
2020,6,154325687
2020,6,154325689
2020,6,154325688
2020,6,154325695
2020,9,154325699
2020,3,154325716
2020,9,154325832
2020,9,154325831
2020,6,154325841
2020,9,154325850
2020,3,154325857
2020,6,153892204
2020,6,153890646
2020,9,153892191
2020,6,153892218
2020,6,153892217
2020,9,153892230
2020,6,153892237
2020,6,153892238
2020,6,153892279
2020,9,153967401
2020,9,153967425
2020,9,153967466
2020,9,153967470
2020,6,153967538
2020,6,153967537
2020,9,153967592
2020,6,153967696
2020,6,153967896
2020,6,153967895
2020,3,153967974
2020,9,153967987
2020,3,153967993
2020,3,153967996
2020,6,153968605
2020,6,153968634
2020,6,153968633
2020,6,153968643
2020,6,153968644
2020,6,153968652
2020,6,153968651
2020,6,153968657
2020,6,153968661
2020,6,153969195
